-5.3121,-3.2701
-4.8147,-1.973
-5.0277,-0.50081
-5.6976,2.8187
-4.2021,6.3369
-4.6268,7.1434
-5.1489,8.8346
-4.4788,9.949
-5.5255,12.97
-3.4219,-4.509
-4.5001,-1.404
-4.3829,1.3834
-4.0782,1.5442
-3.3927,3.857
-4.4908,5.696
-4.2032,8.11
-3.3881,12.53
-2.9004,-1.574
-2.7873,0.23999
-2.6512,5.0991
-2.9745,5.012
-2.5956,5.9632
-2.4886,7.928
-1.6832,-4.8517
-1.7093,-4.4564
-2.1084,1.0225
-1.9483,4.5284
-2.145,7.2918
-2.4604,10.033
-2.5883,12.947
-1.9893,13.993
-1.8196,-4.9058
-1.1711,-0.76527
-0.37191,1.132
-0.9079,4.8993
-1.1687,6.0696
-1.3575,10.037
-1.6437,11.673
-0.58627,-4.981
0.47211,-3.2997
-0.4545,-1.6772
-0.60934,-0.35436
-0.44124,2.0083
-0.40283,4.2327
0.84875,8.3319
-0.71366,9.6582
0.83884,10.995
0.55293,13.426
-0.55703,15.778
0.15002,-4.7097
0.6725,-4.078
0.86309,-2.5833
1.3592,-2.265
1.2726,5.1299
1.116,6.9541
1.813,11.026
1.4067,11.779
0.80352,13.201
0.97228,13.99
0.86269,15.1
1.6303,-5.0055
1.7767,7.5794
1.1924,9.5955
1.9341,13.783
3.3624,-5.098
2.8818,-3.587
3.5156,-2.0939
2.372,-0.067627
2.9901,0.88698
3.3896,5.235
2.7862,5.7795
2.6861,9.674
3.3791,13.558
3.18,13.936
4.1309,-5.1812
3.3971,-3.0193
4.0894,-0.77428
4.0784,3.1986
4.1015,6.1948
3.2527,8.2835
3.9882,9.9773
4.1651,11.738
3.7459,12.882
3.8782,14.605
5.2473,-2.0409
4.8293,1.949
5.2637,5.827
4.6243,9.7395
4.2813,11.409
4.8623,13.101
5.3654,15.052
6.104,-1.8364
6.6777,0.42376
5.2778,7.327
5.584,9.803
6.5132,14.048
8.2944,-4.2594
7.0415,-3.4492
7.0035,-1.3266
5.8638,2.2373
7.2976,7.4944
7.5659,12.031
6.5635,13.629
7.8622,-5.0337
8.1617,0.14617
7.3891,2.1017
7.5405,4.1192
7.3799,5.3142
8.0087,5.9681
7.668,7.2755
8.3115,8.0118
6.8076,9.9593
9.4254,-5.0308
9.5014,-1.8566
9.3975,-1.0311
9.3756,2.3873
9.1337,5.0349
9.2918,5.8065
9.0811,6.8574
9.1386,9.2334
8.9199,10.024
9.0049,11.276
9.4452,12.861
10.174,-5.1274
10.184,-3.2578
10.318,-1.2982
9.458,0.79659
9.7849,2.1868
9.7376,2.4658
10.293,3.7283
11.195,4.837
10.84,7.039
9.6824,8.6904
9.6419,11.047
10.45,11.864
11.056,13.165
10.275,14.972
10.86,-5.0661
10.432,-4.2447
11.208,-2.9724
11.724,-1.794
11.024,-1.0824
11.234,2.0029
11.126,7.4432
10.721,8.003
10.771,11.297
11.134,13.65
11.703,14.014
12.424,-3.9035
12.277,-3.3844
12.037,-2.1205
11.65,1.732
11.901,4.1319
12.865,5.5631
12.036,6.9245
12.492,7.9805
11.72,10.091
12.268,11.167
12.012,14.042
13.698,-5.1447
13.003,-1.7837
12.983,1.1306
12.735,6.676
12.823,7.1499
13.609,9.5775
12.661,11.11
13.501,-3.597
13.781,-2.2349
13.741,5.2374
14.356,5.9212
14.102,14.125
15.059,-4.5173
15.443,-3.3056
14.825,-2.079
14.828,-1.1357
14.492,0.95733
15.13,1.3084
15.284,2.8116
15.272,4.6112
15.216,5.9426
14.888,7.7739
14.898,8.9009
15.46,14.337
